time,tx,cpu_util
1586256270621,3394,37.843418
1586256271622,5563,38.177183
1586256272624,5671,39.205607
1586256273629,5764,40.204512
1586256274630,6052,37.456666
1586256275633,5604,41.333123
1586256276636,6127,37.101185
1586256277675,5758,40.449438
1586256278678,5917,43.268178
1586256279696,6479,38.223756
1586256280702,5620,42.794623
1586256281703,6215,42.466403
1586256282704,6330,43.646237
1586256283706,6310,37.442561
1586256284720,5764,42.159787
1586256285728,6345,36.480620
1586256286740,5518,40.532130
1586256287742,5860,38.335975
1586256288743,5692,39.770372
1586256289744,6062,38.318795
1586256290745,5754,41.180947
1586256291800,6432,36.676766
1586256292804,5644,41.110761
1586256293806,6083,40.781688
1586256294808,5875,39.473684
1586256295809,5856,41.686110
1586256296811,6076,36.731162
1586256297812,5485,41.989122
1586256298813,6154,41.046619
1586256299814,5912,36.104928
1586256300817,5506,28.679962
1586256301817,4496,0.046890
1586256332831,3157,40.895014
1586256333832,5940,40.280592
1586256334833,5899,40.120520
1586256335834,6045,43.506494
1586256336837,6342,36.731468
1586256337841,5592,37.692188
1586256338857,5759,39.623508
1586256339883,5914,43.002869
1586256340887,6552,40.072202
1586256341889,5990,36.737275
1586256342891,5595,40.332302
1586256343893,6289,41.272119
1586256344897,6333,42.846374
1586256345918,6277,42.359462
1586256346959,6562,39.451411
1586256347977,5971,45.265991
1586256348986,6630,42.533794
1586256349988,6357,39.422924
1586256350988,5990,42.797360
1586256351992,6547,41.539670
1586256352993,6358,45.610177
1586256354001,6711,37.726342
1586256355025,5853,42.403593
1586256356036,6222,38.315989
1586256357037,5754,38.980850
1586256358038,6078,41.331220
1586256359048,6247,39.853833
1586256360069,6183,38.972810
1586256361073,5995,37.561518
1586256362075,5746,43.632371
1586256363076,6348,41.594022
1586256364086,6217,41.216956
1586256365087,5970,39.125717
1586256366087,5760,39.036335
1586256367093,5912,41.237764
1586256368095,6062,41.352914
1586256369111,6174,43.831618
1586256370132,6565,41.427498
1586256371172,6287,38.226632
1586256372174,5565,38.939585
1586256373176,5851,40.236502
1586256374177,5900,40.059162
1586256375179,6004,45.120605
1586256376180,6570,42.700032
1586256377181,6347,39.841270
1586256378182,6063,44.812362
1586256379183,6465,38.857323
1586256380187,5912,41.408669
1586256381188,5947,36.845446
1586256382190,5669,41.787018
1586256383207,6506,44.212438
1586256384221,6445,44.161723
1586256385222,6396,41.007982
