time,tx,cpu_util
1585731052104,3492,66.760917
1585731053121,5143,68.087774
1585731054122,5889,69.729390
1585731055123,6439,70.818843
1585731056133,6570,80.795525
1585731057134,8149,81.899584
1585731058136,8285,82.944289
1585731059150,8592,84.128469
1585731060150,9206,83.226427
1585731061151,8366,84.487621
1585731062152,8798,84.460522
1585731063153,8347,86.257125
1585731064159,9488,87.492124
1585731065160,8756,87.780549
1585731066161,9414,88.131313
1585731067162,9601,88.335435
1585731068164,9603,88.169014
1585731069164,9150,87.609512
1585731070169,9105,88.363955
1585731071253,10064,89.379968
1585731072254,9360,88.012719
1585731073255,9311,89.077213
1585731074255,9345,88.812927
1585731075280,9132,89.127686
1585731076281,9656,87.543144
1585731077284,9160,89.751650
1585731078285,10076,90.281330
1585731079286,9930,89.591901
1585731080286,9435,90.679551
1585731081293,9781,91.145668
1585731082294,9669,90.140396
1585731083296,9478,89.626818
1585731084297,9483,91.158825
1585731085298,9733,91.345546
1585731086315,9989,90.913371
1585731087660,12890,90.433956
1585731088662,9467,90.304183
1585731089664,9700,90.549937
1585731090666,9394,90.584518
1585731091667,9653,90.527543
1585731092753,10002,89.397286
1585731093755,9453,90.065604
1585731094755,9287,90.747782
1585731095756,9358,90.937598
1585731096762,9476,90.762417
1585731097764,9421,91.561315
1585731098765,9684,90.642722
1585731099768,10078,91.006289
1585731100769,9948,91.909286
1585731101800,10534,90.808241
1585731102800,9972,91.240876
1585731103801,10071,91.132849
1585731104803,10058,88.689915
1585731105805,9617,91.753885
1585731106809,9843,91.118837
1585731107811,9824,91.468750
1585731108824,9866,91.048995
1585731109825,9908,92.025316
1585731110826,9709,91.742543
1585731111826,10124,91.516872
1585731112827,9722,91.886732
1585731113827,9628,91.658886
1585731114871,10160,91.806854
1585731115884,9869,91.395128
1585731116885,9796,91.123131
1585731117885,9450,91.113219
1585731118886,9578,92.164884
1585731119887,9570,90.782388
1585731120888,9685,91.283145
1585731121931,9940,91.313892
1585731122937,9391,90.926276
1585731123943,9938,90.651828
1585731124944,9465,91.030534
1585731125944,9498,90.717432
1585731126952,9672,91.991136
1585731127954,9717,91.067469
1585731128955,9390,91.973039
1585731129997,10085,91.224747
1585731130998,9434,91.766941
1585731131999,9565,91.429475
1585731133000,9521,91.218750
1585731134002,9646,91.666667
1585731135003,9194,91.509707
1585731136089,10740,92.438953
1585731137163,10335,91.247073
1585731138239,10123,91.173679
1585731139250,9899,91.349810
1585731140251,9509,91.585251
1585731141252,9416,90.909091
1585731142254,9452,90.969582
1585731143278,9618,90.984127
1585731144280,9759,91.771357
1585731145281,10143,92.297940
1585731146288,10422,92.377666
1585731147294,10003,92.300380
1585731148295,9900,91.797612
1585731149297,10323,91.973560
1585731150306,10380,92.106918
1585731151309,10286,92.351454
1585731152311,10122,91.577287
1585731153314,9831,91.479962
1585731154314,9818,91.768666
1585731155365,10150,92.078580
1585731156366,10310,92.176656
1585731157370,10085,35.316336
1585731158370,4130,0.031279
