time,tx
1585068791737,1374
1585068792736,1410
1585068793738,1411
1585068794736,1405
1585068795738,1407
1585068796736,1402
1585068797738,1412
1585068798737,1404
1585068799736,1403
1585068800737,1400
1585068801737,1404
1585068802739,1405
1585068803737,1402
1585068804739,1403
1585068805738,1396
1585068806739,1401
1585068807736,1392
1585068808736,1395
1585068809739,1395
1585068810737,1382
1585068811736,1393
1585068812737,1392
1585068813738,1397
1585068814740,1392
1585068815741,1391
1585068816737,1379
1585068817736,1388
1585068818736,1387
1585068819736,1382
1585068820736,1388
1585068821737,1387
1585068822738,1383
1585068823738,1384
1585068824736,1379
1585068825736,1382
1585068826736,1193
1585068827737,1584
1585068828737,2562
1585068829738,2550
1585068830739,2570
1585068831740,2560
1585068832737,2547
1585068833736,2562
1585068834736,2544
1585068835738,2552
1585068836736,2548
1585068837739,2566
1585068838736,2528
1585068839737,2551
1585068840741,2553
1585068841738,2537
1585068842738,2546
1585068843736,2542
1585068844736,2543
1585068845739,2535
1585068846736,2533
1585068847736,2539
1585068848738,2544
1585068849737,2519
1585068850738,2525
1585068851738,2529
1585068852738,2530
1585068853739,2550
1585068854739,2530
1585068855740,2537
1585068856737,2523
1585068857737,2539
1585068858736,2525
1585068859739,2551
1585068860737,2528
1585068861736,2523
1585068862736,2533
1585068863737,1589
1585068864736,1143
1585068865736,1157
1585068866736,1149
1585068867736,1157
1585068868736,1158
1585068869740,1150
1585068870738,959
1585068871736,2420
1585068872736,3701
1585068873738,3689
1585068874737,3680
1585068875736,3677
1585068876736,3680
1585068877737,3686
1585068878736,3666
1585068879737,3669
1585068880736,3671
1585068881736,3674
1585068882736,3661
1585068883736,3712
1585068884737,3658
1585068885736,3650
1585068886737,3652
1585068887736,3648
1585068888738,3642
1585068889739,3692
1585068890736,3605
1585068891737,3639
1585068892737,3690
1585068893737,3627
1585068894736,3634
1585068895737,3701
1585068896736,3632
1585068897737,3647
1585068898736,3695
1585068899736,3634
1585068900739,3643
1585068901736,3680
1585068902736,3632
1585068903736,3698
1585068904737,3632
1585068905736,3620
1585068906738,3699
1585068907736,3106
1585068908736,2308
1585068909737,2265
1585068910736,2304
1585068911737,2310
1585068912737,2264
1585068913736,2303
1585068914735,2264
1585068915736,2112
1585068916736,4758
1585068917736,4858
1585068918738,4759
1585068919735,4733
1585068920737,4856
1585068921736,4724
1585068922736,4741
1585068923735,4846
1585068924739,4722
1585068925736,4712
1585068926735,4844
1585068927735,4717
1585068928736,4709
1585068929735,4828
