time,tx
1585058844186,3202
1585058845187,6480
1585058846186,6598
1585058847187,6694
1585058848188,6550
1585058849187,6283
1585058850186,6376
1585058851189,6652
1585058852190,6463
1585058853186,6613
1585058854187,6654
1585058855189,6673
1585058856186,6642
1585058857187,6666
1585058858186,6668
1585058859187,6623
1585058860186,6194
1585058861186,6212
1585058862190,6471
1585058863186,6546
1585058864188,6678
1585058865186,6578
1585058866186,6656
1585058867186,6678
1585058868187,6629
1585058869187,6616
1585058870186,6623
1585058871188,6643
1585058872188,6733
1585058873190,6641
1585058874186,6575
1585058875188,6721
1585058876188,6179
1585058877186,6182
1585058878189,6272
1585058879190,6092
1585058880186,6436
1585058881187,6662
1585058882186,6709
1585058883188,6584
1585058884189,6598
1585058885186,6547
1585058886187,6077
1585058887187,5605
1585058888187,6470
1585058889188,6645
1585058890186,6629
1585058891190,6670
1585058892186,6558
1585058893186,6523
1585058894190,6427
1585058895186,6368
1585058896187,6413
1585058897186,6438
1585058898190,6449
1585058899188,6496
1585058900186,6572
1585058901186,6353
1585058902190,5673
1585058903186,6101
1585058904190,6204
1585058905186,6430
1585058906186,6831
1585058907187,6537
1585058908186,6546
1585058909190,6611
1585058910186,6503
1585058911186,6730
1585058912187,6425
1585058913186,6545
1585058914187,6778
1585058915186,6532
1585058916186,6831
1585058917186,6517
1585058918186,6547
1585058919186,6839
1585058920187,6507
1585058921186,6538
1585058922186,6825
1585058923186,6521
1585058924189,6804
1585058925188,6456
1585058926186,6496
1585058927187,6822
1585058928186,6467
1585058929188,6839
1585058930188,6468
1585058931186,6837
1585058932189,6450
1585058933186,6623
1585058934189,6659
1585058935186,6438
1585058936186,6817
1585058937187,6453
1585058938186,6807
1585058939187,6448
1585058940186,6755
1585058941186,6022
1585058942187,6714
1585058943186,6350
1585058944187,5929
1585058945187,6507
1585058946190,5846
1585058947190,6457
1585058948186,5894
1585058949186,6719
1585058950186,5979
1585058951186,6745
1585058952186,6585
1585058953187,6294
1585058954186,6727
1585058955189,6250
1585058956189,6760
1585058957186,5786
1585058958186,6545
1585058959188,6815
1585058960186,6306
1585058961186,6839
1585058962189,6317
1585058963190,6656
1585058964187,6456
1585058965186,6014
1585058966186,6733
1585058967186,6290
1585058968186,6780
1585058969190,6851
1585058970190,6243
1585058971189,6651
1585058972187,6760
1585058973187,6208
1585058974186,6825
1585058975186,6148
1585058976186,6810
1585058977190,6794
1585058978189,5992
1585058979189,6799
1585058980190,6839
1585058981189,6180
1585058982186,6797
1585058983186,6831
1585058984186,6727
1585058985190,6267
1585058986189,6791
1585058987187,6806
1585058988186,6078
1585058989187,6812
1585058990186,6810
1585058991186,6105
1585058992190,6839
1585058993189,6824
1585058994186,6499
1585058995189,5851
1585058996189,6321
1585058997185,6122
1585058998186,909
