time,tx
1585058662447,5853
1585058663451,19481
1585058664450,20529
1585058665448,20507
1585058666451,19465
1585058667446,18947
1585058668450,19499
1585058669447,20203
1585058670447,20390
1585058671446,20278
1585058672448,19318
1585058673446,20140
1585058674447,20332
1585058675447,20583
1585058676447,20308
1585058677451,20748
1585058678446,20565
1585058679446,20564
1585058680447,20658
1585058681450,20729
1585058682446,20593
1585058683446,20681
1585058684446,20640
1585058685446,20433
1585058686446,20557
1585058687446,20516
1585058688447,19877
1585058689450,19565
1585058690446,20595
1585058691447,20683
1585058692447,20061
1585058693446,20674
1585058694446,20259
1585058695450,20300
1585058696446,19120
1585058697446,19454
1585058698447,20315
1585058699446,20400
1585058700447,19593
1585058701447,16654
1585058702446,20409
1585058703446,20667
1585058704447,20798
1585058705447,20794
1585058706451,20547
1585058707446,20427
1585058708447,20476
1585058709446,20033
1585058710446,20402
1585058711447,20403
1585058712450,4976
