time,tx,cpu_util
1585733844113,166,92.276423
1585733845119,849,89.570552
1585733846121,800,90.946502
1585733847122,832,90.160643
1585733848130,822,90.650407
1585733849131,869,91.242362
1585733850136,849,90.759754
1585733851143,805,92.871690
1585733852146,860,96.392785
1585733853150,900,90.965093
1585733854152,795,92.246521
1585733855173,871,91.566265
1585733856187,853,89.896907
1585733857191,824,92.323232
1585733858194,876,94.632207
1585733859212,923,92.057026
1585733860213,859,93.574297
1585733861217,882,92.181070
1585733862219,851,94.246032
1585733863232,909,94.726166
1585733864235,856,91.632653
1585733865239,833,91.853361
1585733866245,811,91.322314
1585733867249,838,90.573770
1585733868252,828,91.038697
1585733869256,833,92.181070
1585733870257,850,89.249493
1585733871268,828,91.188524
1585733872270,855,92.682927
1585733873279,869,92.418033
1585733874281,846,90.816326
1585733875287,843,91.583166
1585733876288,824,94.918699
1585733877289,906,92.971887
1585733878297,883,91.020408
1585733879300,827,92.057027
1585733880305,836,96.442688
1585733881322,963,98.403194
1585733882328,967,92.741935
1585733883334,869,92.464359
1585733884335,849,96.407186
1585733885337,950,93.292683
1585733886341,863,93.223819
1585733887342,861,95.209581
1585733888354,897,97.656250
1585733889383,967,96.793587
1585733890387,955,92.785571
1585733891397,844,94.779116
1585733892401,896,91.075051
1585733893403,816,91.700405
1585733894409,838,91.935484
1585733895415,843,93.495935
1585733896418,872,96.825397
1585733897428,954,97.808765
1585733898444,950,97.405190
1585733899454,942,98.800000
1585733900457,980,89.591837
1585733901461,810,91.967871
1585733902468,830,92.276423
1585733903470,820,91.869919
1585733904476,813,91.991787
1585733905481,807,96.787149
1585733906484,903,99.023437
1585733907510,947,91.919192
1585733908513,827,93.600000
1585733909527,853,94.000000
1585733910544,879,91.463415
1585733911558,842,92.448979
1585733912559,847,95.774648
1585733913564,892,98.993964
1585733914564,952,99.211046
1585733915579,985,96.825397
1585733916590,955,92.629482
1585733917608,844,91.598361
1585733918611,831,91.683570
1585733919613,835,95.161290
1585733920616,912,94.523327
1585733921619,879,98.616601
1585733922634,944,98.995984
1585733923636,928,96.613546
1585733924648,892,99.404762
1585733925658,973,95.266272
1585733926684,917,92.137097
1585733927691,824,92.871691
1585733928694,840,92.057026
1585733929697,837,92.682927
1585733930706,890,91.786448
1585733931706,834,93.279022
1585733932714,841,95.874263
1585733933728,938,93.200000
1585733934736,844,93.047035
1585733935737,833,92.089250
1585733936744,825,92.638037
1585733937745,820,95.791583
1585733938757,903,98.811881
1585733939769,942,99.209486
1585733940786,977,99.408284
1585733941800,933,93.600000
1585733942814,856,92.276423
1585733943815,819,95.372233
1585733944821,876,92.540323
1585733945840,832,91.260163
1585733946860,829,92.338710
1585733947865,800,93.103448
1585733948872,831,92.971888
1585733949889,851,95.783132
1585733950898,914,93.131313
1585733951907,843,92.510121
1585733952910,845,96.981891
1585733953911,941,99.601594
1585733954923,986,95.472441
1585733955940,929,91.786448
1585733956944,834,93.509128
1585733957945,833,93.075356
1585733958946,855,92.307693
1585733959948,813,93.686354
1585733960954,875,97.585513
1585733961956,920,91.820041
1585733962957,787,93.047035
1585733963959,856,93.089431
1585733964961,826,97.445972
1585733965979,968,97.647059
1585733967002,952,95.783132
1585733968009,886,92.653061
1585733969010,868,91.886410
1585733970014,827,94.567404
1585733971016,874,92.622951
1585733972018,828,98.616601
1585733973028,969,99.800399
1585733974032,984,97.000000
1585733975037,898,99.603175
1585733976051,997,94.664032
1585733977074,895,92.842535
1585733978078,852,97.600000
1585733979090,919,96.579477
1585733980092,921,94.715447
1585733981097,885,97.847358
1585733982120,982,97.813121
1585733983124,942,98.019802
