time,tx,cpu
1591693101579,3097,19.107057
1591693102580,5769,24.360807
1591693103582,8037,29.725465
1591693104585,10105,39.254248
1591693105586,13829,49.271184
1591693106590,17877,56.363350
1591693107596,19856,57.933989
1591693108597,20118,61.220044
1591693109600,20903,62.976861
1591693110604,21064,66.361593
1591693111608,22807,68.860878
1591693112611,23316,71.556182
1591693113615,24020,73.955432
1591693114618,25281,77.130045
1591693115619,26356,77.878598
1591693116621,26612,78.419549
1591693117623,26947,81.394626
1591693118625,27759,81.550339
1591693119630,28280,82.885802
1591693120665,29500,84.107088
1591693121667,28756,84.541680
1591693122671,29670,85.409758
1591693123672,29929,86.615147
1591693124674,30677,87.529265
1591693125675,31134,87.394691
1591693126677,31049,87.836366
1591693127685,31712,86.778772
1591693128687,31111,87.869776
1591693129689,31250,89.152542
1591693130691,31490,88.368817
1591693131693,31483,89.764890
1591693132696,31607,89.539882
1591693133696,31648,89.588912
1591693134698,31598,90.487275
1591693135700,31630,90.838485
1591693136701,31970,91.728028
1591693137703,32502,91.139440
1591693138704,31704,92.906601
1591693139706,32403,90.909091
1591693140707,32220,92.639195
1591693141710,32523,92.418033
1591693142712,32434,92.428035
1591693143716,32251,92.794349
1591693144718,32490,91.844358
1591693145720,32129,92.294440
1591693146721,32312,92.722205
1591693147722,32683,93.145161
1591693148724,32338,94.368574
1591693149749,32924,94.436653
1591693150752,32647,92.748867
1591693151755,32454,93.619709
1591693152761,32215,93.689922
1591693153762,32381,94.510665
1591693154764,32532,94.523736
1591693155765,32373,93.732547
1591693156768,31783,93.352192
1591693157771,32628,94.820031
1591693158773,31970,93.934632
1591693159774,32559,94.154620
1591693160777,32304,93.984728
1591693161777,31996,94.698871
1591693162781,31897,94.239130
1591693163783,32231,95.719153
1591693164839,34005,93.820755
1591693165842,32165,95.956915
1591693166844,32046,95.845744
1591693167846,32284,95.958647
1591693168848,32592,95.503179
1591693169851,32180,95.867251
1591693170853,32168,95.296875
1591693171855,31847,95.282578
1591693172856,31592,93.986254
1591693173859,31370,90.694379
1591693174859,30888,89.152592
1591693175924,31641,89.706342
1591693176929,30679,91.339076
1591693177932,30980,91.375218
1591693178934,30883,93.431342
1591693179936,31394,87.959866
1591693180976,30944,89.067964
1591693182007,30538,86.768846
1591693183010,30075,88.454347
1591693184013,29313,86.318253
1591693185014,29646,87.833051
1591693186037,29345,85.174192
1591693187039,29217,85.406492
1591693188137,31288,85.331653
1591693189142,28891,86.393494
1591693190144,29199,85.069009
1591693191145,28658,86.488597
1591693192147,29207,87.634829
1591693193154,28520,83.832335
1591693194157,28474,87.763117
1591693195160,28636,84.666040
1591693196161,28805,86.743606
1591693197162,28786,87.163333
1591693198164,28465,84.532035
1591693199168,28315,86.909149
1591693200169,29394,88.048246
1591693201171,28965,85.453688
1591693202173,27300,83.992467
1591693203173,28306,86.973540
1591693204176,28062,83.706721
1591693205177,27690,86.936867
1591693206179,28353,83.037258
1591693207180,27470,86.294896
1591693208182,28125,80.403595
1591693209183,27173,83.103939
1591693210185,26996,87.790788
1591693211187,27709,83.990536
