time,tx,cpu
1591693101900,4715,21.344937
1591693102901,6650,26.217520
1591693103902,8263,32.043761
1591693104906,11250,45.027709
1591693105908,15598,51.486098
1591693106908,18471,54.962442
1591693107915,19669,59.797244
1591693108919,20602,61.614393
1591693109923,21062,64.157927
1591693110925,21616,67.312845
1591693111927,22920,69.217252
1591693112929,23624,72.409508
1591693113933,24353,75.323058
1591693114986,27025,77.687321
1591693115989,26505,78.643911
1591693116990,26564,78.938110
1591693117994,27493,81.538226
1591693118996,28036,82.254047
1591693119997,27938,82.881035
1591693120998,28559,84.250622
1591693121999,29381,82.763555
1591693123001,29428,85.286783
1591693124003,30358,86.276347
1591693125007,30584,87.857485
1591693126011,31283,88.113533
1591693127012,31261,88.536128
1591693128015,31451,87.949585
1591693129016,31348,87.731878
1591693130018,31138,88.327091
1591693131022,31774,88.584832
1591693132025,31039,89.836888
1591693133026,31675,90.227061
1591693134204,37340,90.590844
1591693135206,31523,91.048237
1591693136207,31997,92.027263
1591693137209,32252,90.941690
1591693138212,32369,91.548446
1591693139246,32740,92.071530
1591693140248,32523,92.555073
1591693141250,32208,92.610759
1591693142251,32530,93.003861
1591693143255,32578,93.561431
1591693144259,32111,93.305439
1591693145260,32171,93.818638
1591693146263,32304,93.391658
1591693147265,32710,92.799874
1591693148266,32232,93.766155
1591693149286,32982,94.042754
1591693150290,32319,94.291092
1591693151294,32752,94.654928
1591693152299,32229,94.344352
1591693153302,32429,93.560127
1591693154304,32357,93.241119
1591693155306,32444,94.562500
1591693156308,32336,93.951235
1591693157311,32008,94.966089
1591693158360,33662,95.399592
1591693159362,32655,95.587552
1591693160368,32103,94.822462
1591693161372,32409,94.394865
1591693162373,32231,94.291523
1591693163375,32337,95.215087
1591693164377,31747,94.337539
1591693165379,32580,95.734081
1591693166380,31485,95.721424
1591693167383,32439,96.365055
1591693168385,32659,96.090626
1591693169446,33367,96.236813
1591693170448,32144,96.129229
1591693171477,33025,96.159875
1591693172479,32147,93.887147
1591693173481,31805,89.741262
1591693174522,31598,90.099626
1591693175523,30135,90.461347
1591693176525,30815,91.037514
1591693177525,30931,91.237437
1591693178527,30900,94.138387
1591693179599,33045,90.123457
1591693180608,30693,86.290196
1591693181610,30138,88.848695
1591693182612,29194,88.974399
1591693183617,29677,86.816314
1591693184618,29663,86.162535
1591693185620,29322,88.032167
1591693186622,29050,86.370772
1591693187723,31324,86.301153
1591693188724,29414,86.014599
1591693189799,30187,85.631281
1591693190800,28501,87.617555
1591693191801,29586,86.606720
1591693192803,29195,85.211931
1591693193804,28368,84.163898
1591693194804,27742,88.548057
1591693195806,29178,86.477987
1591693196807,28177,87.183121
1591693197810,28687,85.265473
1591693198825,28869,87.658776
1591693199917,31251,88.085572
1591693200919,29482,85.752519
1591693201920,28487,83.752896
1591693202949,28127,85.351124
1591693204066,31129,83.472638
1591693205066,28259,88.703125
1591693206068,27543,86.219823
1591693207120,29271,84.563015
1591693208123,28601,82.594391
1591693209125,26739,85.025063
1591693210127,27357,82.166008
1591693211128,27722,83.823301
1591693212130,28011,85.506794
1591693213131,27683,86.732456
1591693214132,27383,84.984375
1591693215134,28264,82.973356
1591693216135,26552,85.595741
1591693217137,27228,92.501961
1591693218138,29407,84.347146
1591693219139,27514,81.353526
1591693220142,26767,85.380758
1591693221162,27953,90.696587
1591693222163,29580,96.138211
1591693223165,31190,97.056982
1591693224168,29878,93.993430
1591693225170,28978,80.501175
1591693226172,26425,80.072981
1591693227173,26905,84.499293
1591693228174,26421,85.085383
1591693229176,26765,81.885972
1591693230190,26190,78.930818
1591693231192,26809,84.147105
1591693232194,26282,81.431907
1591693233208,26734,83.229373
1591693234320,28929,82.622455
1591693235471,30445,76.920660
