time,tx,cpu_util
1587468148506,463,27.878788
1587468149513,4353,41.239850
1587468150515,6397,56.170413
1587468151516,9236,60.832691
1587468152528,10412,68.420226
1587468153533,11679,69.476557
1587468154537,10708,76.575299
1587468155538,13818,78.767655
1587468156540,13949,78.930916
1587468157545,14214,74.960998
1587468158547,13377,84.649869
1587468159551,17365,84.040747
1587468160554,16649,84.292379
1587468161559,17032,85.330383
1587468162560,16590,84.556287
1587468163560,16123,85.872406
1587468164562,17153,85.537919
1587468165570,17445,88.208366
1587468166573,18371,87.618899
1587468167575,17914,88.212212
1587468168578,18445,88.171875
1587468169581,18656,88.034853
1587468170582,17934,87.472596
1587468171583,17143,88.561470
1587468172586,18214,88.347524
1587468173587,17966,89.291856
1587468174592,17888,88.001248
1587468175593,17486,88.667086
1587468176595,18004,87.994932
1587468177597,18507,89.988947
1587468178598,19797,90.248536
1587468179606,20172,90.740741
1587468180608,19525,90.588978
1587468181611,19547,90.007831
1587468182612,19238,90.009352
1587468183618,19254,90.050063
1587468184622,19562,90.218588
1587468185634,19404,90.749105
1587468186636,19639,90.375077
1587468187653,19320,90.505934
1587468188660,18961,90.716432
1587468189663,19238,91.287346
1587468190666,19428,90.896293
1587468191669,18496,90.726062
1587468192673,19333,91.402715
1587468193674,19208,90.900519
1587468194732,19867,90.512780
1587468195733,19002,91.305017
1587468196757,19859,91.105882
1587468197761,19008,90.940401
1587468198815,20112,91.027061
1587468199815,19953,91.944619
1587468200818,20181,91.715601
1587468201818,20093,92.127960
1587468202825,20452,92.626011
1587468203831,20912,91.920467
1587468204832,19447,91.318681
1587468205834,19705,91.948622
1587468206837,19918,92.427274
1587468207858,20302,92.460194
1587468208861,19769,92.458451
1587468209864,19654,91.990632
1587468210866,20005,92.553508
1587468211929,21043,92.340226
1587468212934,20122,92.475310
1587468213937,19811,93.481990
1587468214939,19812,93.013375
1587468215940,20068,91.982989
1587468216944,20018,91.939784
1587468217946,19408,92.949618
1587468218950,19300,92.449559
1587468219951,20131,92.398862
1587468220952,18799,92.278954
1587468221959,19589,93.185023
1587468222960,19192,92.312461
1587468223964,20057,92.701644
1587468224965,19216,93.191357
1587468225968,19427,92.564706
1587468226972,19180,92.555870
1587468227973,19560,93.843750
1587468228977,19427,92.487453
1587468229979,19419,92.540829
1587468230982,19702,92.962508
1587468232016,20105,93.162033
1587468233128,21360,92.871690
1587468234141,19462,92.783019
1587468235143,19716,92.734799
1587468236253,20992,93.019252
1587468237255,19776,92.972803
1587468238258,19826,92.727840
1587468239262,18997,92.862745
1587468240270,18983,93.086691
1587468241272,19848,92.989626
1587468242277,19329,90.370019
1587468243280,17653,93.696951
1587468244283,20330,93.023256
1587468245285,19821,93.245983
1587468246288,20704,92.930409
1587468247289,20658,93.288168
1587468248293,19896,93.499373
1587468249298,19802,93.766724
1587468250304,20053,92.948919
1587468251309,20674,93.184634
1587468252329,20356,93.583138
1587468253331,19747,93.886338
1587468254429,21436,93.118157
1587468255536,21570,93.918919
1587468256539,20177,93.931479
1587468257561,20443,93.168192
1587468258574,19776,92.949820
1587468259579,19899,93.072242
1587468260582,19577,93.166719
1587468261585,19596,93.179122
1587468262651,20872,93.206606
1587468263656,19763,92.949121
1587468264657,19572,93.032723
1587468265659,19264,94.021909
1587468266662,19319,94.332237
1587468267669,19981,93.255960
1587468268670,20154,93.236867
1587468269676,19976,94.552897
1587468270678,19626,94.890282
1587468271678,19512,94.681519
1587468272683,19864,93.654057
1587468273833,23122,93.805586
1587468274835,20106,93.681747
1587468275838,19715,93.880761
1587468276839,18883,94.149103
1587468277841,19417,94.563168
1587468278844,20523,94.321221
1587468279846,18947,94.045369
1587468280847,18971,92.752035
1587468281850,20238,94.802952
1587468282851,19788,94.599249
1587468283857,19030,92.762346
1587468284869,20021,93.759775
1587468285870,18843,94.738495
1587468286871,19528,95.004698
1587468287874,19036,93.718514
1587468288875,20441,94.194462
1587468289876,18488,93.721693
1587468290878,20383,94.692476
1587468291879,19240,94.250158
1587468292880,19746,94.145272
1587468293883,19726,95.434509
1587468294887,19379,94.020038
1587468295892,20120,95.018797
1587468296896,19361,93.648055
1587468297899,20174,95.387021
1587468298902,19220,94.323899
1587468299903,20017,94.684178
1587468300908,19708,94.268119
1587468301909,19602,94.545455
1587468303062,22077,94.053036
1587468304063,20390,94.053345
1587468305154,20213,94.670846
1587468306157,20318,94.130606
1587468307161,19599,94.699096
1587468308161,18996,93.902631
1587468309163,20478,94.611901
1587468310168,18700,94.295092
1587468311172,19433,93.823299
1587468312174,20247,94.418386
1587468313178,18532,94.234405
1587468314180,19549,93.920925
1587468315191,20327,94.935514
1587468316192,18411,94.104803
1587468317194,19686,94.046497
1587468318195,20447,94.666246
1587468319196,18564,94.792157
1587468320199,18903,95.830055
1587468321201,20998,95.458816
1587468322203,19732,95.349922
1587468323207,18962,94.114878
1587468324208,19588,93.513766
1587468325212,19988,94.623320
1587468326214,18285,94.081633
1587468327216,18355,93.936538
1587468328218,20115,94.402516
1587468329220,19384,85.005461
1587468330223,14338,94.345517
1587468331224,19522,94.679849
1587468332232,19805,93.837009
1587468333233,19426,95.078370
1587468334237,20015,94.107035
1587468335284,21422,93.979672
1587468336287,20797,93.320731
1587468337290,20719,94.604768
1587468338292,20311,94.806820
1587468339293,19659,94.941269
1587468340295,19549,94.738495
1587468341296,19699,94.955210
1587468342298,20176,94.530882
1587468343302,21130,93.471763
1587468344306,20884,94.888680
1587468345306,19825,93.908948
1587468346308,19224,94.017632
1587468347310,19296,94.811099
1587468348313,20031,94.305490
1587468349315,19677,93.493463
1587468350355,19567,94.536054
1587468351479,21862,93.753943
1587468352480,19542,94.512368
1587468353585,21359,93.835093
1587468354613,20281,93.734414
1587468355624,20246,94.464090
1587468356912,24581,93.795564
1587468357930,19909,94.131455
1587468358935,19916,94.235885
1587468360008,21355,93.699314
1587468361016,19709,94.328686
1587468362020,19822,95.447718
1587468363386,25240,94.426230
1587468364390,20099,94.654088
1587468365393,19475,95.005006
1587468366809,26537,94.937304
1587468367812,20059,94.748559
1587468369011,22867,94.488805
1587468370014,20157,94.847659
1587468371293,24269,94.809256
1587468372298,20037,95.916440
1587468373633,25609,94.692077
1587468374834,23094,94.733552
1587468375838,20313,95.110063
1587468376841,20460,95.171657
1587468377844,20020,95.588925
1587468378846,18595,95.626180
1587468379848,18695,95.575082
1587468380851,19002,94.860107
1587468381853,19747,94.249452
1587468382857,20320,95.387512
1587468383859,19864,95.623529
1587468384862,18791,95.606299
1587468385863,18441,96.178344
1587468386876,19157,95.046101
1587468387879,20360,95.249155
1587468389369,27551,95.303694
1587468390369,20133,94.710327
1587468391371,20345,95.180911
1587468392374,20191,95.725959
1587468393375,18426,95.325490
1587468394377,18206,96.157451
1587468395384,19484,95.696203
1587468396624,24143,95.784687
1587468397910,25166,94.667709
1587468398920,20698,94.523106
1587468399927,20584,95.731994
1587468400929,18330,95.871920
1587468401931,18196,95.517822
1587468402959,19471,94.245059
1587468403961,20382,94.304095
1587468404962,19929,95.415879
1587468405963,17893,95.396900
1587468406966,17913,95.280198
1587468408175,23536,94.807449
