time,tx,cpu_util
1587396801790,2910,1.411765
1587396802791,9262,2.450134
1587396803792,14793,3.287714
1587396804792,19838,4.409673
1587396805793,29442,4.780688
1587396806794,30055,5.699810
1587396807794,37142,5.569660
1587396808795,37750,6.791793
1587396809795,44840,8.562836
1587396810796,50985,9.533597
1587396811797,54960,9.173291
1587396812798,55901,10.413012
1587396813799,62493,10.775862
1587396814799,64448,13.399109
1587396815800,74313,12.655801
1587396816800,72306,13.578863
1587396817801,77568,15.062360
1587396818802,83088,14.720567
1587396819802,84553,14.448547
1587396820804,82626,14.920128
1587396821805,82293,15.312151
1587396822806,83909,14.599359
1587396823807,82499,14.800515
1587396824807,84421,14.486207
1587396825808,83641,14.370968
1587396826810,83900,15.663225
1587396827811,83592,14.928720
1587396828814,84389,15.398145
1587396829817,85957,15.200257
1587396830818,85862,15.536768
1587396831818,84081,14.842747
1587396832819,83589,14.731061
1587396833819,85483,15.458627
1587396834820,86349,15.252330
1587396835820,85451,15.400641
1587396836821,85087,14.417476
1587396837821,84168,15.657453
1587396838822,84815,14.943639
1587396839823,84911,14.607287
1587396840823,85053,15.910899
1587396841824,85342,15.221211
1587396842824,84189,15.649825
1587396843826,83580,15.081020
1587396844827,85164,16.058627
1587396845827,86192,15.996184
1587396846828,85693,16.425044
1587396847829,87831,14.945478
1587396848831,85169,16.122871
1587396849832,85949,15.232745
1587396850833,85518,15.411784
1587396851834,86175,15.548829
1587396852836,84641,15.061887
1587396853838,86010,14.665592
1587396854839,85016,16.566265
1587396855840,86213,15.333656
1587396856840,87395,15.247429
1587396857841,85418,15.648000
1587396858842,85210,15.575476
1587396859843,85826,15.453384
1587396860845,84857,16.557456
1587396861845,88927,15.574167
1587396862846,87637,15.750799
1587396863847,86510,15.372272
1587396864848,86213,16.499602
1587396865848,88019,15.053072
1587396866850,86744,15.987861
1587396867851,86909,16.632281
1587396868851,87112,15.545206
1587396869852,86793,15.630522
1587396870852,87336,15.737179
1587396871853,87710,15.515854
1587396872855,86316,16.267259
1587396873857,87196,15.964240
1587396874857,87840,15.329053
1587396875858,85351,15.551276
1587396876859,87325,15.998718
1587396877859,87267,16.592428
1587396878863,87887,15.897108
1587396879864,86376,16.337894
1587396880866,86656,14.957820
1587396881866,88656,15.821566
1587396882867,87666,15.878378
1587396883867,88891,16.046623
1587396884868,87116,16.281295
1587396885869,87284,16.878981
1587396886869,88648,15.642548
1587396887870,86523,15.775959
1587396888870,87878,16.331418
1587396889872,88014,16.159513
1587396890872,87149,16.237402
1587396891873,88186,15.313002
1587396892876,87592,15.696000
1587396893878,86789,16.211904
1587396894879,88053,15.818211
1587396895880,88169,16.071429
1587396896880,87083,15.194973
1587396897881,87513,15.666720
1587396898881,88246,16.071429
1587396899882,89927,15.741481
1587396900883,87453,16.244793
1587396901886,90332,15.747905
1587396902886,88897,16.536934
1587396903889,87346,15.450298
1587396904889,87493,13.626868
1587396905890,79331,14.246882
1587396906890,80175,13.912486
1587396907891,79754,13.657444
1587396908891,77655,10.442987
1587396909892,63392,8.206107
1587396910893,51035,8.670246
1587396911893,49958,8.157435
1587396912895,50145,8.048897
1587396913896,49047,7.369919
1587396914896,43820,6.630796
1587396915897,40798,5.219867
1587396916898,32864,3.637795
1587396917898,22242,3.285647
1587396918899,19704,2.565717
1587396919900,15615,0.328176
1587396920900,1326,0.031240
